price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
3850000000,4,3,224,220,2,5500,2,2017,2,0,1,0,0,0,0,0,0,0
775000000,3,2,72,69,2,2200,2,2022,1,0,1,0,0,0,0,0,0,0
945000000,3,1,90,70,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1000000000,2,1,150,63,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
655000000,3,2,64,60,1,1300,2,2022,2,0,1,0,0,0,0,0,0,0
285000000,2,1,60,36,0,1300,1,2022,1,0,1,0,0,0,0,0,0,0
1300000000,5,3,117,160,0,3500,2,2014,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
551000000,2,1,70,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
438000000,2,1,63,36,0,1300,1,2022,1,0,1,0,0,0,0,0,0,0
1200000000,2,1,170,100,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
225000000,2,1,60,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
4500000000,3,2,575,200,2,2200,1,2018,2,0,1,0,0,0,0,0,0,0
655000000,2,1,78,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
651000000,2,1,84,45,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
15000000000,5,4,1023,401,2,3160,2,2018,2,0,1,0,0,0,0,0,0,0
630000000,2,1,84,70,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
2500000000,5,5,120,235,0,2200,2,2022,0,0,1,0,0,0,0,0,0,0
530000000,2,1,70,36,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
275000000,2,1,60,36,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
650000000,2,1,66,33,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
11500000000,4,5,518,515,2,5500,2,2022,2,0,1,0,0,0,0,0,0,0
1800000000,4,2,487,250,0,3160,2,2018,0,0,1,0,0,0,0,0,0,0
500000000,2,1,78,50,0,1300,1,2015,0,0,1,0,0,0,0,0,0,0
245000000,2,1,36,72,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
333000000,2,1,62,36,0,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1650000000,3,1,154,100,1,2200,1,2010,0,0,1,0,0,0,0,0,0,0
2040000000,3,3,128,200,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
2500000000,4,4,180,300,2,5500,2,2017,0,0,1,0,0,0,0,0,0,0
3500000000,2,3,323,220,4,5500,2,2008,0,0,1,0,0,0,0,0,0,0
685000000,3,2,64,60,1,1300,2,2022,0,0,1,0,0,0,0,0,0,0
15500000000,3,4,1153,500,3,5500,2,2018,1,0,1,0,0,0,0,0,0,0
650000000,2,1,66,33,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
651000000,2,1,84,45,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1650000000,3,1,232,120,1,1300,1,2005,1,0,1,0,0,0,0,0,0,0
530000000,2,1,70,36,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
4400000000,4,4,234,200,1,4400,2,2019,1,0,1,0,0,0,0,0,0,0
840000000,3,4,90,180,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
7000000000,4,4,340,400,2,5500,2,2022,2,0,1,0,0,0,0,0,0,0
1250000000,3,3,144,88,1,1300,1,2020,0,0,1,0,0,0,0,0,0,0
2300000000,3,2,299,125,1,2200,2,2016,1,0,1,0,0,0,0,0,0,0
5100000000,4,3,481,242,2,3500,2,2018,2,0,1,0,0,0,0,0,0,0
1250000000,3,2,105,110,0,3160,2,2018,0,0,1,0,0,0,0,0,0,0
755000000,3,2,78,60,1,1300,2,2022,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
633000000,2,1,72,36,0,2200,1,2018,1,0,1,0,0,0,0,0,0,0
3500000000,4,4,321,500,2,4400,2,2018,1,0,1,0,0,0,0,0,0,0
4500000000,4,2,334,350,1,5500,2,2018,2,0,1,0,0,0,0,0,0,0
830000000,3,2,112,75,1,1300,1,2014,0,0,1,0,0,0,0,0,0,0
389000000,3,3,110,161,2,2200,2,2021,0,0,1,0,0,0,0,0,0,0
168000000,1,1,66,24,0,1300,1,2022,0,0,1,0,0,0,0,0,0,0
551000000,2,1,70,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
360000000,2,1,72,36,1,1300,1,2021,0,0,1,0,0,0,0,0,0,0
810000000,2,1,90,45,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
470000000,2,1,147,40,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
3500000000,4,4,321,500,1,4400,2,2016,1,0,1,0,0,0,0,0,0,0
280000000,2,1,50,40,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1600000000,4,3,144,170,2,3160,2,2018,0,0,1,0,0,0,0,0,0,0
1450000000,3,2,105,140,0,3160,2,2018,0,0,1,0,0,0,0,0,0,0
3200000000,3,3,406,250,1,2200,2,2006,1,0,1,0,0,0,0,0,0,0
5300000000,4,4,481,250,4,5500,2,2021,2,0,1,0,0,0,0,0,0,0
400000000,2,1,60,40,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1680000000,3,2,186,110,1,1300,2,2018,0,0,1,0,0,0,0,0,0,0
438000000,2,1,60,35,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
575000000,3,2,88,55,1,1300,1,2021,0,0,1,0,0,0,0,0,0,0
495000000,2,1,81,50,0,1300,1,2017,0,0,1,0,0,0,0,0,0,0
975000000,3,2,200,100,2,1300,1,2018,2,0,1,0,0,0,0,0,0,0
999000000,3,2,72,90,1,2200,2,2022,0,0,1,0,0,0,0,0,0,0
2200000000,4,3,198,170,2,3500,2,2018,0,0,1,0,0,0,0,0,0,0
1030000000,2,1,105,70,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
2300000000,3,2,299,125,1,2200,2,2015,1,0,1,0,0,0,0,0,0,0
450000000,2,1,72,72,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1500000000,3,2,1000,150,0,1300,2,2005,0,0,1,0,0,0,0,0,0,0
2500000000,3,2,202,370,0,2200,2,2014,0,0,1,0,0,0,0,0,0,0
1150000000,3,2,90,150,1,5500,2,2018,0,0,1,0,0,0,0,0,0,0
400000000,2,1,60,40,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
820000000,4,2,178,100,1,2200,1,2005,0,0,1,0,0,0,0,0,0,0
4500000000,3,2,358,250,1,3500,2,2019,0,0,1,0,0,0,0,0,0,0
1250000000,3,2,144,105,2,2200,2,2015,0,0,1,0,0,0,0,0,0,0
8300000000,4,4,315,381,2,3160,3,2022,2,0,1,0,0,0,0,0,0,0
514000000,2,1,60,22,0,2200,1,2022,0,0,1,0,0,0,0,0,0,0
1330000000,3,2,160,88,2,2200,1,2022,0,0,1,0,0,0,0,0,0,0
500000000,2,1,72,50,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
4900000000,4,3,664,300,2,3160,2,2018,0,0,1,0,0,0,0,0,0,0
400000000,2,1,80,48,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
1150000000,3,2,94,70,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
5000000000,4,3,396,299,2,4400,2,2019,0,0,1,0,0,0,0,0,0,0
945000000,3,1,90,70,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
250000000,1,1,72,22,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
1100000000,3,2,84,155,1,2200,2,2002,0,0,1,0,0,0,0,0,0,0
135000000,2,1,38,38,0,900,1,2022,0,0,1,0,0,0,0,0,0,0
540000000,2,1,85,45,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
476000000,2,1,86,40,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1620000000,5,2,104,180,1,2200,3,2018,0,0,1,0,0,0,0,0,0,0
2500000000,4,4,180,300,1,5500,2,2018,0,0,1,0,0,0,0,0,0,0
900000000,2,1,81,45,0,1300,1,2018,1,0,1,0,0,0,0,0,0,0
1550000000,3,2,170,90,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
900000000,2,1,81,45,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
810000000,2,1,105,45,0,2200,1,2018,1,0,1,0,0,0,0,0,0,0
1080000000,2,2,104,60,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
4000000000,3,2,377,277,0,4400,1,2018,0,0,1,0,0,0,0,0,0,0
2040000000,3,3,128,200,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
545000000,2,1,68,36,0,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1440000000,3,2,90,110,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
945000000,3,1,90,70,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
930000000,2,1,84,39,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
12500000000,4,3,502,430,0,8000,2,2018,4,0,1,0,0,0,0,0,0,0
29000000000,4,4,1250,700,2,3300,1,2014,2,0,1,0,0,0,0,0,0,0
2300000000,3,2,299,125,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
975000000,3,2,148,140,1,2200,2,2018,1,0,1,0,0,0,0,0,0,0
1150000000,3,2,90,150,1,5500,2,2018,0,0,1,0,0,0,0,0,0,0
700000000,3,3,90,80,2,2200,2,2022,1,0,1,0,0,0,0,0,0,0
699000000,2,1,88,40,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
430000000,3,2,72,100,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
2040000000,4,3,180,120,0,2200,2,2018,2,0,1,0,0,0,0,0,0,0
200000000,3,1,45,36,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
2900000000,3,4,530,270,0,3500,1,2018,4,0,1,0,0,0,0,0,0,0
499000000,2,1,63,41,1,1300,1,2021,1,0,1,0,0,0,0,0,0,0
1150000000,3,2,90,150,1,5500,2,2019,0,0,1,0,0,0,0,0,0,0
3000000000,4,2,162,196,1,3160,2,2018,0,0,1,0,0,0,0,0,0,0
5500000000,4,4,313,250,2,1300,2,2012,1,0,1,0,0,0,0,0,0,0
945000000,3,1,90,70,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
455000000,2,1,65,36,0,1300,1,2022,0,0,1,0,0,0,0,0,0,0
685000000,3,2,64,60,1,1300,2,2022,0,0,1,0,0,0,0,0,0,0
530000000,3,2,64,54,2,2200,2,2022,2,0,1,0,0,0,0,0,0,0
4500000000,4,4,366,450,1,5500,1,2018,2,0,1,0,0,0,0,0,0,0
1080000000,2,2,104,60,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
900000000,2,1,90,90,1,1300,1,2020,0,0,1,0,0,0,0,0,0,0
530000000,2,1,70,36,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
168000000,2,1,60,29,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
3500000000,4,4,323,500,0,4400,2,2016,0,0,1,0,0,0,0,0,0,0
451000000,2,1,60,32,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
1080000000,2,2,60,65,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
600000000,3,2,72,54,2,2200,2,2022,2,0,1,0,0,0,0,0,0,0
700000000,2,1,90,45,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
6500000000,4,5,313,360,1,5500,2,2022,1,0,1,0,0,0,0,0,0,0
661000000,2,1,84,40,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,2,2021,0,0,1,0,0,0,0,0,0,0
2040000000,4,3,180,120,0,2200,2,2018,2,0,1,0,0,0,0,0,0,0
780000000,2,1,105,55,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
395000000,2,1,72,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
1080000000,2,2,60,65,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
1160000000,3,3,84,95,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
1140000000,3,2,84,76,0,1300,2,2018,1,0,1,0,0,0,0,0,0,0
2750000000,4,3,220,221,2,2200,3,2015,2,0,1,0,0,0,0,0,0,0
3950000000,4,3,328,250,2,3300,2,2017,1,0,1,0,0,0,0,0,0,0
1150000000,3,2,90,150,1,5500,2,2016,0,0,1,0,0,0,0,0,0,0
530000000,2,1,70,36,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
9500000000,4,3,1400,300,0,3500,1,2018,4,0,1,0,0,0,0,0,0,0
75000000,2,1,60,30,1,900,1,2019,1,0,1,0,0,0,0,0,0,0
1370000000,3,3,195,149,0,3160,2,2018,1,0,1,0,0,0,0,0,0,0
5000000000,3,3,330,362,1,4400,2,2020,1,0,1,0,0,0,0,0,0,0
900000000,2,1,81,45,0,1300,1,2018,1,0,1,0,0,0,0,0,0,0
20000000000,2,3,1250,250,1,3160,1,2018,1,0,1,0,0,0,0,0,0,0
780000000,3,2,116,85,1,1300,1,2018,1,0,1,0,0,0,0,0,0,0
4500000000,4,3,663,250,2,2200,2,2020,0,0,1,0,0,0,0,0,0,0
4500000000,8,3,264,400,3,4400,2,2010,0,0,1,0,0,0,0,0,0,0
600000000,3,2,66,56,2,2200,2,2022,0,0,1,0,0,0,0,0,0,0
1140000000,3,2,84,76,1,1300,2,2018,1,0,1,0,0,0,0,0,0,0
500000000,2,2,60,48,1,2200,1,2022,1,0,1,0,0,0,0,0,0,0
3000000000,3,2,328,160,1,2200,2,2016,1,0,1,0,0,0,0,0,0,0
2500000000,4,3,198,350,2,4400,2,2018,0,0,1,0,0,0,0,0,0,0
300000000,2,1,72,60,1,1300,1,2019,1,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
1440000000,4,3,126,180,1,1300,2,2018,0,0,1,0,0,0,0,0,0,0
2600000000,3,3,202,186,2,3500,2,2020,2,0,1,0,0,0,0,0,0,0
